question_original,question_clean,answer_original
What is the estimated delivery time?,estimated delivery time,"Sellers generally procure and ship the items within the time specified on the product page. Business days exclude public holidays and Sundays. Estimated delivery time depends on the following factors:
- The seller offering the product- Product's availability with the seller- The destination to which you want the order shipped to and location of the seller
You can check the expected delivery date of your order(s) on the 'My Orders' section of your Flipkart account on our website, app, or mobile site."
How can I trust that the groceries that will be delivered are quality checked and fresh?,trust groceries delivered quality checked fresh,"Groceries on Flipkart are available from top brands such as HUL, P&G, ITC etc. which are renowned for their quality products. Seller also checks the freshness of groceries when they receive the stock from vendors and before the dispatch of items in order to ensure that only the best produce and packaged groceries reach you. "
"My package shows as delivered but I can't find it, what should I do?",package shows delivered cant find,"If your tracking information shows that your package was delivered, but you can't find it: Check your phone for any notification about attempted delivery.See if any of your neighbours/friends/relatives/house owner/security guard has collected your product on your behalf.Wait until the end of the day— sometimes packages can show as delivered while still in transit. In the unlikely event of you still not being able to locate your item, please contact us and we will be happy to help."
Why was my package not delivered?,package delivered,"Sometimes, a package cannot be delivered due to one of the following reasons: Incorrect Address: If the address is incorrect or outdated, the package is usually returned to the seller by the courier service provider or the unintended recipient. Please double-check your address carefully when placing a new order. To remove an outdated or incorrect address from your account, go to My Account > My Addresses. Click on the 3-dot button beside the address you want to modify and select 'Edit' and then Choose 'Save Changes'.
Other Address Problems: In rare cases, it is also possible that the address label was difficult to decipher during the shipping and handling process, or that the courier service left the package at a different address than what was printed on the label.
Failed Delivery Attempts: Most of the seller's partnered courier service providers make more than one attempt to deliver a package. If nobody is available to accept the delivery after multiple attempts, the package is returned to the seller.
Damaged During Transit: If a package is damaged on its way to you, the courier service provider will return it to the seller without attempting delivery.
Note: A package once returned to the seller cannot be delivered again by the courier service provider. Please place a new order on our website or app if you would still like to purchase the item."
What do the different order statuses in 'My Orders' mean?,different order statuses orders mean,"The different order statuses are as mentioned below:

Approved: Order you have placed for an item is confirmed by the seller
Ready to Ship: Your item is packed and ready for pick up by a courier service provider 
Dispatched: Your item has been picked up from the seller by the courier service provider and is on its way to a logistic facility
Shipped: Your item is on its way to you
Out for delivery: A Wish master is out to deliver your order
Delivered: Your item has been delivered
Return requested: You have created a return request for the item which is pending confirmation from the seller
Returned: You have returned the item for refund/replacement/exchange
"
What is GSTIN Invoicing feature?,gstin invoicing feature,"Through GSTIN Invoicing feature customers can enter their business entity details and GSTIN associated with the business entity in order to receive a tax invoice containing these details to claim input tax credit. Please note, this is available on select products for business purchases sold by participating sellers."
Who are all eligible for this GSTIN feature?,eligible gstin feature,"

Customers that have GSTIN registered for their business entity can avail this feature. Please note that this is currently available on select products for business purchases sold by participating sellers. Customers can enter GSTIN and business entity name while placing the order to receive a tax invoice containing these details to claim input tax credit.

"
"If I request for a replacement, when will I get it?",request replacement get,"Visit My Orders to check the status of your replacement.
In most locations, the replacement item is delivered to you at the time of pick-up. In all other areas, the replacement is initiated after the originally delivered item is picked up. Please check the SMS & email we send you for your replacement request for more details."
Which products are not eligible for returns?,products eligible returns,"The following table contains a list of products that are not eligible for returns as per the seller’s Returns Policy:
 




Category


Products that can’t be returned




Auto Accessories


Additives, Air Fresheners, Brighteners, Cleaners, Bike/Car Stickers, Degreasers, Dent/Scratch Removers, Filler Putty, Headlight Vinyl Films, Liquid Solutions, Lubricants, Polish, Power Steering Fluids, Sealants, Oils and Wax




Automobiles


Cars, Mopeds, Motorcycles and Scooters




Bath and Spa


Bath Bubble/Salt/Sponge/Wash, Body Wash, Loofahs, Scrubs, Shampoos and Soaps




Baby Care


Bottle Nipples, Breast Nipple Care, Breast Pumps, Diapers, Ear Syringes, Nappy, Wet Reminder, Wipes and Wipe Warmers




Cleaning Products


Cleaning Gels, Detergents, Detergent Pods, Fabric Wash Products, Surface Cleaners, Stain Removers and Washing Bars/Powder




Computer Accessories


Blank/Educational Media, CDs/DVDs, Ink Toners, Music, Movies and Software




Food and Nutrition


Canned Food, Condiments, Drinks, Fruits, Health Supplements, Meat, Seafood, Syrups, Vegetables and other Edible Products




Fashion


Baby Dolls, Clothing Freebies, Lingerie Wash-bags, Shapewear, Socks, Stockings and Swimsuits




Footwear Accessories


Oils, Glue, Grease, Socks, Shoe Deodorants/Polish Creams/Sprays and Wax




Gardening Products


Plant Saplings, Plant Seeds and Soil Manure




Health Care


Antiseptic, Band Aid, Body Pain Relief, Eye Drops, First Aid Tape, Glucometer Lancet/Strip, Healthcare Devices and Kits, Medical Dressing/Gloves and pH Test Strip




Home Products


Adhesives, Barbeque wood, Bird/Insect Repellent, Contact Cement, Crack Fillers, Inks, Guitar/Yoyo Friction Stickers, Marker Refills, Mosquito Coil/Vaporiser/Vaporiser Refills, Naphthalene Balls, Scuba/Smoking-Pipe Mouthpieces and Sprays




Hygiene


Cannula, Contact Lens, e-Hookah, Fake Moustache, Female Urination Devices, Menstrual Cups, Needles, Panty Liners, Shaving Products, Smoking Patch, Straws, Sweat Pads, Tampons, Teeth Whitening Products/Wipes, Tissues, Toilet Tissue Aid, Toilet Rolls and Women Intimate Care




Innerwear


Bra Accessories, Briefs, Boxers, Lingerie Sets, Panty, Garter, Trunks and Vests




Jewellery


Coins




Music Instrument Accessories


Mouthpiece Cap/Pad/Set, Oils and Polish




Party Supplies


Balloons, Candles, Cut-outs, Decoration articles and Whistles




Festive Supplies


Hookah Charcoal/Flavor/Mouth-tip, Incense Sticks and Holi/Rangoli Color




Personal Care


Conditioners, Creams, Deodorants, Electric Ear Cleaners, Eyebrow/Eyelash/Hair Styling Products, Eye Mask, Face Wash, Face Care/Fairness Products, Fragrance, Fresheners, Gels, Hair Care, Kajal, Lens Solution, Lip Plumper/Stain, Blackhead/Makeup/Nail Paint Removers, Mascara, Mehendi, Nail Sanding Pad, Oils, Oral Hygiene Products, Perfumes, Hand/Toothbrush Sanitizers, Serums, Talc, Sunscreen, Tanning Liquid, Tattoo, Toners and Wigs




Pet Supplies


Aquarium Consumables, Hair Styling, Health Care/Medicinal Products, Horse Girth/Grooming Kit/Braid Tail Bag/Hay/Liniment/Poultice, Inhaler Masks, Litter Box Enclosures, Litter Scoops, Pet Chew, Pet Food/Treat, Pet Pad, Pet Hygiene/Personal Care Products, Poultice, Tail Wraps, Waste Bags and Water Troughs




Sexual Wellness


Condoms, Fertility Kit/Supplement, Lubricants, Pregnancy Kits, Sexual Massagers, Sexual/Pleasure Enhancement Products and Vaginal Dilators




 
Kindly always check a product's Returns Policy on the product page. Click here to view the Returns Policy.
 "
Can items be returned after the time period mentioned in the seller's Returns Policy?,items returned time period mentioned sellers returns policy,"No, sellers will not be able to accept returns after the time period mentioned in the seller's Returns Policy."
Do I have to return the freebie when I return a product?,return freebie return product,"Yes, the freebie has to be returned along with the product."
How do returns work?,returns work,"You can raise a request to return your items with these simple steps:
 
1. Log into your Flipkart account
2. Go to My Orders
3. Click on 'Return' against the item you wish to return or exchange
4. Fill in the details and raise a return request
 
Once you raise a request, you'll get an email and SMS confirming that your request is being processed. Based on the item, your request may be automatically approved or you may be contacted for more details. If the request is approved, the item will be picked up after which you will get a replacement or refund. You can also track the status of your return request instantly from the 'My Orders' section of your Flipkart account."
I see the 'Cancel' button but I can't click on it. Why?,see cancel button cant click,A greyed out and disabled 'Cancel' button can mean any one of the following:1. The item has been delivered alreadyOR2. The item is non-refundable (e.g. Gift Card)
What is the Buyer Protection policy?,buyer protection policy,"The Buyer Protection policy mediates buyer-seller disputes. In case a seller declines your request for a return of an item and you are not convinced with the reason given, you can write to us at resolution@flipkart.com for Buyer Protection. You can dispute the resolution that the seller has shared for your issue until 45 days from the date of delivery and concern is looked into by us on a case-to-case basis."
What should I do if I have an issue with my product after the return period?,issue product return period,You can get in touch with the brand or an authorised service centre of the brand to claim the warranty for your product (wherever applicable).
How can I return or exchange an item?,return exchange item,"To return/exchange your order, follow these simple steps: 
1. Go to My Orders 
2. Choose the item you wish to return or exchange 
3. Fill in the details 
4. Choose Request Return.  

 "
When is a return of an item not possible?,return item possible,"Sellers cannot accept returns of item(s) in the following cases:
1. When an item is damaged because of use or when it is not in the same condition as you received it2. When any consumable item has been used or installed3. When anything is missing from the package you've received including price tags, labels, original packing, freebies & accessories 4. When non-returnable items are involved such as innerwear. lingerie etc.5. When items are tampered with or have missing serial numbers"
How can I know the status of my refund?,know status refund,"You can visit 'My Orders' to know the status of your refund.
For orders cancelled before shipping, refunds are processed immediately. If the order has been shipped. refund will be processed as soon as the courier service provider confirms the return of the item(s)."
What are the modes of refund available after cancellation?,modes refund available cancellation,"The different refund modes available are:
1. PhonePe Wallet - available for orders with select sellers.  You will get this option for eligible orders during cancellation
2. Back to source - available for orders with all sellers. The amount is refunded to the payment mode that was originally used to pay for the order
3. NEFT transfer - available for all Cash-on-Delivery orders. As per policy, cash refunds are not possible"
When are refunds given?,refunds given,"Refunds are given when:
- The seller cannot provide a replacement- A dispute has been ruled in your favour in-line with Buyer Protection- Sellers allow refunds on select categories under certain conditions
Please check the seller's Returns Policy on the product page for more details."
I ordered a wrong item. Can I return it?,ordered wrong item return,The sellers' return policies don't support the return of item(s) ordered wrongly. You can refer the respective seller's Returns policy on the product page.
What should I do if I find the package open or tampered on delivery?,find package open tampered delivery,You can request for the item to be replaced by visiting 'My Orders'. Use the 'Return' option & fill out the details of the issue so that we can help you.
Can I change the address for the pick-up the of item(s) in my order?,change address pickup items order,"If the pincode of the new address is serviceable for pick-up, the address can be changed while creating the return. The address cannot be changed in case the new address is not serviceable."
Why have I been asked to ship the item?,asked ship item,"When pickup facility is not available for your location as per the courier service providers, you may be asked to ship the item back to the seller. Since the seller can arrange for a refund or a replacement only after the item reaches them, please make sure that the item is sent to the address mentioned in the return related email within 30 days of the email being sent to you.
The seller may not be able to proceed with the return request if the item does not reach the specified address within 30 days."
What is the pickup process?,pickup process,"Once your return or replacement or exchange request is accepted, the pickup of the originally delivered product will be scheduled. An SMS with more details will be sent to you on the day of the pickup.
In cases where pickup service is not available from the courier service providers at your location, you may be asked to ship the item back to the seller within 30 days of the return related email being sent to you."
I have requested for a return for my item. When will it happen?,requested return item happen,"You can now track the status of your return easily right from your Flipkart account or mobile app. Just visit the 'My Orders' page to see its status along with the date of pick-up and status of your refund if applicable.
You will also receive an email & SMS with the details of your return."
"I have requested a replacement, when will I get it?",requested replacement get,"You may visit 'My Orders' to check the status of your replacement. In most locations, the replacement item is delivered to you at the time of pick-up. In all other areas, the replacement is initiated after the originally delivered item is picked up. Please check the SMS & email that will be sent to you for your replacement request for more details."
I've still not received the refund in my bank account.,ive still received refund bank account,"If you have received a mail from us confirming your refund request, it means that the refund has been initiated. You can also contact your bank with the ARN you would have received for an update on the status of your refund.
In the rare event of the amount not being credited by the date promised, you can contact us as we will work with the bank to get it done."
What are the refund timelines if I cancel or return a product?,refund timelines cancel return product,"The refund timelines will depend on the payment modes as listed below:

Debit card - 7-9 Business days
Credit - 7-9 Business days
Netbanking - 3-7 business days
COD - IMPS, 1 Business days
EMI (Standard+No cost+Debit card) - 7- 9 Business days
Flipkart Pay Later - 24 to 48 hours
Gift Card - 24 hours
PhonePe: 


PhonePe wallet - 24 hours 
PhonePe UPI - 1 business day 
PhonePe Credit/Debit card - 7 business days

Note: Refunds will be credited to the payment source used at the time of placing an order.The mode of refund in case of payment through 'Cash on Delivery' will be IMPS
 "
How will I get my refund for returning an item I paid for using 'Cash on Delivery' mode?,get refund returning item paid using cash delivery mode,"For orders placed using 'Cash on Delivery' as the payment mode, refunds can be processed to your bank account via Immediate Payment Service (IMPS). You can update the details of the bank account where you would like to receive the refund while creating the return request for an item.
You will need to update following information for the seller to process a refund to your account:

The Bank Account Number
IFSC Code
Account Holder's Name
Bank Branch
Bank Name

IMPS refunds will typically be processed in one business day by sellers."
I have not received the reimbursement of my courier charges. What should I do?,received reimbursement courier charges,"Please follow the below-mentioned steps on our website to upload a scanned copy of the receipt from the courier service provider so that we can request the seller for a reimbursement:

 Go to Flipkart Help Center and select the relevant order for which the refund has been requested
 From the issue types, choose 'Others' and select 'Email Us'
 Now click on the attachment icon and select the image/document you wish to upload
 Please include the return ID in your email and click 'Send Email'

After the verification, the amount will be refunded to you as a Gift Card in your Flipkart account.
Note: This amount is not withdrawable to your bank account."
How will I get my refund for returning an item I paid for with Cash on Delivery?,get refund returning item paid cash delivery,"For your 'Cash on Delivery order, you will receive the refund in the form of NEFT. Please update your bank account details after you choose this option."
How long does it take to cancel an order?,long take cancel order,"Cancellation of item(s) in an order happens immediately if the order hasn't been shipped yet by the seller. If your order has been shipped, it will be cancelled as soon as the courier service confirms that the shipment is being returned to the seller. Orders from certain categories cannot be cancelled after 24 hours, please check the product page for more details."
What are the checks done for an item that I'm returning?,checks done item im returning,"
During pick-up, your product will be checked for the following conditions:
 




Correct Product


IMEI/ name/ image/ brand/ serial number/ article number/ bar code should match and MRP tag should be undetached and clearly visible.




Complete Product


All in-the-box accessories (like remote control, starter kits, instruction manuals, chargers, headphones, etc.), freebies and combos (if any) should be present.




Unused Product


The product should be unused, unwashed, unsoiled, without any stains and with non-tampered quality check seals/ warranty seals (wherever applicable). Before returning a Mobile/ Laptop/ Tablet, the device should be formatted and Screen Lock (Pin, Pattern or Fingerprint) must be disabled. iCloud lock must be disabled and iCloud deactivation done for Apple devices.




Undamaged Product


The product (including SIM trays/ charging port/ headphone port, back-panel etc.) should be undamaged and without any scratches, dents, tears or holes.




Undamaged Packaging


Product's original packaging/ box should be undamaged.




 
The field executive may refuse to accept the return if any of the above conditions are not met.
For any products for which a refund is to be given, the refund will be processed once the returned product has been received by the seller.
 
View a complete list of all non-returnable products here.
"
Why do I see a Return fee applicable to the order?,see return fee applicable order,"

If your return requests are significantly higher than most customers, a return fee will apply to your order. This is levied to compensate sellers for the huge losses they incur as part of each return request. In case of an issue with the item, you can choose to exchange or replace it instead of returning it to avoid these fees. For more details, you can click 'Know more' beside the return fee information on the app at the time of creating a return request.

"
How is the Return Fee determined?,return fee determined,"The return fee is determined based on the selling price of the product. Lower the selling price of the product, lower the return fee and vice versa."
What is Flipkart's credit card EMI payment option?,flipkarts credit card emi payment option,"With Flipkart’s credit card EMI option, you can choose to pay in easy installments of 3, 6, 9, 12, 18, or 24 months, with credit cards from the following banks:

HDFC
    
Citi
    
ICICI
    
Kotak
    
Axis
    
Induslnd
    
SBI
    
Standard Chartered
    
HSBC
    

*18 & 24 months EMI options are available from select banks only. Please refer to the table below for more details:




                Banks
            

                Supports 18 & 24 months tenure
            

                Minimum order value to avail 18 & 24 months EMI options
            



                HDFC
            

                Yes
            

                ₹ 10,000
            



                Citi
            

                Yes
            

                ₹ 10,000
            



                ICICI
            

                Yes
            

                ₹ 10,000
            



                Kotak
            

                Yes
            

                ₹ 4,000
            



                Axis
            

                Yes
            

                ₹ 4,000
            



                IndusInd
            

                Yes
            

                ₹ 4,000
            



                SBI
            

                No
            

                NA
            



                Standard Chartered
            

                Yes
            

                ₹ 4,000
            



                HSBC
            

                No
            

                NA
            


"
How can I order for large quantities of the product as part of a corporate order?,order large quantities product part corporate order,You can write to corporatesales@flipkart.com for your corporate gifting requirements.
How can I label my saved cards?,label saved cards,You can specify a card label at the time of saving a card on Flipkart through the 'My Account' section. You can also add/edit the label anytime through 'My Saved Cards' in the 'My Account' section on Flipkart.
What is a 'card label'?,card label,"A card label is a name you give to your card while saving it on Flipkart.
 
This helps in identifying the card at the time of making a payment. Even if you don't specify a card label, you can still identify the card by the first 2 and last 4 digits of the card number which are visible to you when the saved card is shown."
What is the 'Save Card' feature?,save card feature,The 'Save Card' option lets you save your credit/debit cards on your Flipkart account. This helps you complete your transactions in a quick and easy way.
How does Flipkart prevent card fraud?,flipkart prevent card fraud,"Online payments are monitored by our systems for any suspicious activity and some transactions are verified through extensive checks if we find that they are not authorised by the owner of the card. When we're not able to rule fraud out in rare cases, the transaction is kept on hold and we ask the shopper to share relevant proofs. This is done to make sure that the transaction is genuine and authorised."
How do I pay using Flipkart's credit card EMI option?,pay using flipkarts credit card emi option,"
 
When you're prompted to choose a payment method for your order, select EMI and then choose the bank and the plan you would prefer. Enter your credit card and follow the prompts. Once the payment is authorised, your order will be processed and shipped.
You'll need to pay the total amount in the predetermined number of instalments as per your credit card billing cycles. Please note, an amount equivalent to your card limit will be blocked on the day of the transaction, your card limit will be reset with every successful EMI payment.
 "
How is my EMI debited?,emi debited,"If you have paid for your order using the EMI payment mode, the full amount will be charged to your card the day of the transaction. Within 7 days, you will see a credit for the full amount. The first EMI charge will occur subsequently. If your card's billing date falls within those 7 working days, you need to pay only the EMI amount to the bank."
I have a query about the EMI charge. What should I do?,query emi charge,You can get in touch with your card issuing bank to know about EMI transaction charges as they may vary across banks.
What are the interest rates for the Credit card EMI plans?,interest rates credit card emi plans,You will see the actual interest rates and the amount charged by the bank for your credit card EMI plan during checkout after choosing the EMI payment method while placing your order.
Which Credit cards are eligible for EMI?,credit cards eligible emi,"EMI is available for Credit cards from the following banks:

ICICI
Citi
SBI
HDFC
Kotak
Standard Chartered
HSBC
Axis
IndusInd

Please check the specific product page for more details as this list is updated frequently."
Can I pay with any Credit card?,pay credit card,"You can choose to pay on Flipkart with any Visa, MasterCard or American Express credit card issued in India."
Can I use any Debit Card to pay for my order?,use debit card pay order,"You can choose to pay for your order on Flipkart with any Visa, MasterCard or Maestro Debit Card."
Can I use the Cash on Delivery payment option for every product I buy on Flipkart?,use cash delivery payment option every product buy flipkart,"The availability of Cash on Delivery option depends on factors like the delivery pincode, type of products etc.
 
Please enter your pincode on the product page to check if CoD is available at your location. If this option is available for your pincode, you can shop for products up to ₹49,999 using this."
How can I get the 3D Secure password for my Credit/Debit Card?,get secure password creditdebit card,You can get a 3D Secure password by registering your Credit/Debit Card on your bank's website.
How can I pay with a saved Credit/Debit Card?,pay saved creditdebit card,Your saved cards can be seen when you choose the credit or debit card option to pay for your order. Enter the CVV number of that card (we do not store it) and click on the 'Pay' button. You'll also have to enter the card's 3D Secure password to complete the transaction.
How can I pay for my order?,pay order,"You can choose to pay for an order using any of the below methods:
 

Cash on Delivery
Net Banking
Gift Card
PhonePe Wallet
Visa, MasterCard, Maestro and American Express Credit or Debit cards issued in India and 21 other countries

To know more about payments, click here: http://www.flipkart.com/s/help/payments"
How do I pay for my Cash-on-Delivery order if I choose to pick up the product from the pick-up store?,pay cashondelivery order choose pick product pickup store,You can directly pay for your order at the pickup outlet for Cash on Delivery orders.
How do I pay using a credit or debit card?,pay using credit debit card,"You may choose the credit card or debit card option to pay during checkout and enter the details when prompted. You would need to keep your card number, expiry date, three digit CVV number ready, which you can find on your card. For added security, you'll also need to use your card's online password that is verified by Visa, MasterCard Secure Code etc."
How does the 3D Secure password add security to my online transactions?,secure password add security online transactions,"The 3D Secure password is something that only you would know, ensuring no one else can use your card to shop online."
"If I have a saved card on Flipkart, will I be able to use a new card for my next payment?",saved card flipkart able use new card next payment,"Yes. Even if you've saved your card details on Flipkart, you always have the option to use any other credit/debit card to pay."
What is a 3D Secure password?,secure password,A 3D Secure password adds an extra layer of security through identity verification for your online Credit & Debit card transactions (VISA & MasterCard).
What is the amount I can shop for with Cash on Delivery payment option?,amount shop cash delivery payment option,"You can shop up to Rs. 49,999 using Cash on Delivery (CoD) option."
What is Cash on Delivery?,cash delivery,Cash on Delivery is a mode of payment in which you can pay cash at the time of delivery of your order. You can also pay using a credit card/ debit card if the Courier Executive carries a swiping machine.
Why is my card being saved on Flipkart?,card saved flipkart,"It's quicker. You can save the hassle of typing in the complete card information every time you shop on Flipkart by saving your card details. You can make your payment by selecting the saved card of your choice at checkout. While this is obviously faster, it is also very secure."
What all card information does Flipkart store?,card information flipkart store,"We only store your card number, cardholder name and card expiry date. We do not store your card's CVV number or the 3D secure password. Flipkart stores your card information only when you select the option.We only store your card number, cardholder name and card expiry date. We do not store your card's CVV number or the 3D secure password. Flipkart stores your card information only when you select the option."
Can I delete my saved cards?,delete saved cards,"Yes, you can delete your saved cards at any given time."
How many cards can I save on Flipkart?,many cards save flipkart,"As of now, you can save upto 10 cards using the 'Save Card' option."
What cards can I save on Flipkart?,cards save flipkart,"You can save any credit or debit VISA, MasterCard, Maestro or American Express card issued by a bank in India."
How do I save my card(s) on Flipkart?,save cards flipkart,"Your card is saved automatically when you make a successful payment by entering the card details while purchasing on Flipkart. Alternatively, you can also save your card by navigating to 'My Accounts > Payments > My Saved Cards'. To save the card you'll need the card number and the expiry date. You can also add a card label to better identify a saved card."
How do I make a payment using a saved card?,make payment using saved card,You can view your saved cards by selecting the credit/debit card payment option at checkout. Select a saved card that you wish to use to make the payment. Enter the CVV number of that card (we do not store it) and click the 'Pay' button to initiate your payment. You will also have to enter the card's 3D Secure password to complete the transaction.
"If I have a saved card on Flipkart, will I be able to use a new card for my next payment?",saved card flipkart able use new card next payment,"Yes. Even if you have saved your card on Flipkart, you always have the option to use any other credit/debit card for making a payment."
How can I delete my saved card?,delete saved card,You can delete your saved card information on Flipkart from the 'My Account' section. Go to 'My Account > Payments > My Saved Cards' and you will be able to see your saved card(s). You can then click on 'Remove this card'.
What is a card label?,card label,"A card label is the name you give to your card while saving it on Flipkart. This helps in identifying the card at the time of making a payment. Even if you do not specify a card label, you will still be able to identify the card by the first 2 and last 4 digits of your card number which will be visible to you when the saved card is displayed."
How can I add a card label to my saved card?,add card label saved card,"You can specify a card label at the time of saving a card on Flipkart through the My Account section. If you did not specify any card label at the time of saving the card, you can still add/edit the label anytime through the ""My Saved Cards"" menu in the My Account section on Flipkart."
What are the pre-requisites for using the saved card feature?,prerequisites using saved card feature,"You should have a registered account with Flipkart to which you should be logged in. Due to security reasons, this feature is not available during guest checkout."
Can I use a saved card to make an EMI payment?,use saved card make emi payment,"Yes, if your saved credit card is eligible for your Bank's EMI program then you can use it for making an EMI payment."
I had opted to save my card at the time of payment but my card was not saved. Why?,opted save card time payment card saved,"If you choose to save your card at the time of making the payment, then the only time your card may not get saved is when the payment fails due to card being invalid. If the payment was successful and the card was not saved, then you may contact us and we will help you out."
I typed an incorrect card number by mistake when adding my card. How do I correct it?,typed incorrect card number mistake adding card correct,"If you typed an incorrect card number, name or card expiry date, you need to first delete the entered details by clicking on ""Remove this card"" and then add the card again with the correct details."
Can I use my saved cards for making a payment on Flipkart's mobile site/app?,use saved cards making payment flipkarts mobile siteapp,Absolutely! Any cards that you save on Flipkart's website can be used on Flipkart app and mobile site as well. You can also save cards through your mobile and use them on Flipkart's website.
What if I do not want my cards to be imported?,want cards imported,"You can manage these cards from the 'Saved Cards' section on PhonePe or Flipkart. If you wish to delete a card from both PhonePe and Flipkart, you need to perform this operation independently in both the applications."
Can I use Credit/Debit Card to pay on Flipkart through the Flipkart app?,use creditdebit card pay flipkart flipkart app,"
Yes, you can use your Debit/Credit Card to shop on our mobile app, website, and mobile site too!
"
Can I combine the balance on my Gift Cards with Cash on Delivery to pay for an order?,combine balance gift cards cash delivery pay order,"
Cash on Delivery payments cannot be combined with other payments modes.
"
Can I cancel my EMI after I've placed the order using the Bajaj Finserv payment option?,cancel emi ive placed order using bajaj finserv payment option,"Since payment modes cannot be changed after an order is placed, to cancel your EMI, your order will need to be cancelled.
 
*Certain items cannot be cancelled after 24 hours of placing the order."
Can I get the refund for the item to any other mode if I have paid using the Bajaj Finserv payment option?,get refund item mode paid using bajaj finserv payment option,"No, the refund for an order placed using the Bajaj Finserv payment mode can only be done to the bank account linked to the Bajaj Finserv EMI Card."
Do I need to make a down payment to buy an item using the Bajaj Finserv EMI payment mode?,need make payment buy item using bajaj finserv emi payment mode,"No, a down payment is not required for buying an item using the Bajaj Finserv EMI option."
How can I get a Bajaj Finserv EMI card?,get bajaj finserv emi card,You can check the eligibility and process of getting a Bajaj Finserv No Cost EMI card on their website: www.bajajfinserv.in/finance.
